periodo,id_categoria,categoria,variacao_mensal_pct,numero_indice,ano,mes
202412,aves_ovos,IPCA - Aves e ovos,0.4238,,2024,12
201501,carnes,IPCA - Carnes e peixes,7.79,,2015,1
201502,carnes,IPCA - Carnes e peixes,-0.0642,,2015,2
201503,carnes,IPCA - Carnes e peixes,3.2267,,2015,3
201504,carnes,IPCA - Carnes e peixes,3.0746,,2015,4
201505,carnes,IPCA - Carnes e peixes,-1.5802,,2015,5
201506,carnes,IPCA - Carnes e peixes,-0.6278,,2015,6
201507,carnes,IPCA - Carnes e peixes,3.6381,,2015,7
201508,carnes,IPCA - Carnes e peixes,-0.8478,,2015,8
201509,carnes,IPCA - Carnes e peixes,-0.9752,,2015,9
201510,carnes,IPCA - Carnes e peixes,0.9313,,2015,10
201511,carnes,IPCA - Carnes e peixes,3.1569,,2015,11
201512,carnes,IPCA - Carnes e peixes,1.7204,,2015,12
201601,carnes,IPCA - Carnes e peixes,18.1625,,2016,1
201602,carnes,IPCA - Carnes e peixes,3.239,,2016,2
201603,carnes,IPCA - Carnes e peixes,-3.5267,,2016,3
201604,carnes,IPCA - Carnes e peixes,-0.3092,,2016,4
201605,carnes,IPCA - Carnes e peixes,-3.8508,,2016,5
201606,carnes,IPCA - Carnes e peixes,12.5138,,2016,6
201607,carnes,IPCA - Carnes e peixes,0.6795,,2016,7
201608,carnes,IPCA - Carnes e peixes,-2.2648,,2016,8
201609,carnes,IPCA - Carnes e peixes,0.1619,,2016,9
201610,carnes,IPCA - Carnes e peixes,1.8503,,2016,10
201611,carnes,IPCA - Carnes e peixes,-2.5518,,2016,11
201612,carnes,IPCA - Carnes e peixes,-5.1123,,2016,12
201701,carnes,IPCA - Carnes e peixes,2.242,,2017,1
201702,carnes,IPCA - Carnes e peixes,-3.5802,,2017,2
201703,carnes,IPCA - Carnes e peixes,2.0567,,2017,3
201704,carnes,IPCA - Carnes e peixes,3.428,,2017,4
201705,carnes,IPCA - Carnes e peixes,1.9595,,2017,5
201706,carnes,IPCA - Carnes e peixes,-1.469,,2017,6
201707,carnes,IPCA - Carnes e peixes,-0.3502,,2017,7
201708,carnes,IPCA - Carnes e peixes,-2.8605,,2017,8
201709,carnes,IPCA - Carnes e peixes,-2.7384,,2017,9
201710,carnes,IPCA - Carnes e peixes,-1.0722,,2017,10
201711,carnes,IPCA - Carnes e peixes,0.1821,,2017,11
201712,carnes,IPCA - Carnes e peixes,-0.3137,,2017,12
201801,carnes,IPCA - Carnes e peixes,2.9263,,2018,1
201802,carnes,IPCA - Carnes e peixes,-2.3945,,2018,2
201803,carnes,IPCA - Carnes e peixes,-0.5328,,2018,3
201804,carnes,IPCA - Carnes e peixes,0.7711,,2018,4
201805,carnes,IPCA - Carnes e peixes,2.0152,,2018,5
201806,carnes,IPCA - Carnes e peixes,0.0744,,2018,6
201807,carnes,IPCA - Carnes e peixes,-1.3331,,2018,7
201808,carnes,IPCA - Carnes e peixes,0.0087,,2018,8
201809,carnes,IPCA - Carnes e peixes,-0.748,,2018,9
201810,carnes,IPCA - Carnes e peixes,0.0467,,2018,10
201811,carnes,IPCA - Carnes e peixes,2.1197,,2018,11
201812,carnes,IPCA - Carnes e peixes,2.5703,,2018,12
201901,carnes,IPCA - Carnes e peixes,-0.6105,,2019,1
201902,carnes,IPCA - Carnes e peixes,6.4646,,2019,2
201903,carnes,IPCA - Carnes e peixes,1.5832,,2019,3
201904,carnes,IPCA - Carnes e peixes,4.9427,,2019,4
201905,carnes,IPCA - Carnes e peixes,0.8599,,2019,5
201906,carnes,IPCA - Carnes e peixes,-6.1422,,2019,6
201907,carnes,IPCA - Carnes e peixes,-6.0404,,2019,7
201908,carnes,IPCA - Carnes e peixes,-6.1092,,2019,8
201909,carnes,IPCA - Carnes e peixes,-2.74,,2019,9
201910,carnes,IPCA - Carnes e peixes,-1.1226,,2019,10
201911,carnes,IPCA - Carnes e peixes,0.12,,2019,11
201912,carnes,IPCA - Carnes e peixes,8.1653,,2019,12
202001,carnes,IPCA - Carnes e peixes,4.7504,,2020,1
202002,carnes,IPCA - Carnes e peixes,0.6862,,2020,2
202003,carnes,IPCA - Carnes e peixes,5.1129,,2020,3
202004,carnes,IPCA - Carnes e peixes,2.8626,,2020,4
202005,carnes,IPCA - Carnes e peixes,-0.304,,2020,5
202006,carnes,IPCA - Carnes e peixes,4.9681,,2020,6
202007,carnes,IPCA - Carnes e peixes,-6.4948,,2020,7
202008,carnes,IPCA - Carnes e peixes,1.4564,,2020,8
202009,carnes,IPCA - Carnes e peixes,7.1875,,2020,9
202010,carnes,IPCA - Carnes e peixes,3.5471,,2020,10
202011,carnes,IPCA - Carnes e peixes,2.0486,,2020,11
202012,carnes,IPCA - Carnes e peixes,0.4077,,2020,12
202101,carnes,IPCA - Carnes e peixes,-0.512,,2021,1
202102,carnes,IPCA - Carnes e peixes,-1.0957,,2021,2
202103,carnes,IPCA - Carnes e peixes,5.1334,,2021,3
202104,carnes,IPCA - Carnes e peixes,0.1856,,2021,4
202105,carnes,IPCA - Carnes e peixes,-0.2619,,2021,5
202106,carnes,IPCA - Carnes e peixes,0.5422,,2021,6
202107,carnes,IPCA - Carnes e peixes,3.7051,,2021,7
202108,carnes,IPCA - Carnes e peixes,-6.5558,,2021,8
202109,carnes,IPCA - Carnes e peixes,-0.5193,,2021,9
202110,carnes,IPCA - Carnes e peixes,2.2333,,2021,10
202111,carnes,IPCA - Carnes e peixes,1.9583,,2021,11
202112,carnes,IPCA - Carnes e peixes,1.0121,,2021,12
202201,carnes,IPCA - Carnes e peixes,6.2274,,2022,1
202202,carnes,IPCA - Carnes e peixes,1.7723,,2022,2
202203,carnes,IPCA - Carnes e peixes,1.5808,,2022,3
202204,carnes,IPCA - Carnes e peixes,5.0439,,2022,4
202205,carnes,IPCA - Carnes e peixes,-0.5603,,2022,5
202206,carnes,IPCA - Carnes e peixes,0.279,,2022,6
202207,carnes,IPCA - Carnes e peixes,-1.3475,,2022,7
202208,carnes,IPCA - Carnes e peixes,-0.5401,,2022,8
202209,carnes,IPCA - Carnes e peixes,-3.8716,,2022,9
202210,carnes,IPCA - Carnes e peixes,-0.6112,,2022,10
202211,carnes,IPCA - Carnes e peixes,-0.6867,,2022,11
202212,carnes,IPCA - Carnes e peixes,1.7735,,2022,12
202301,carnes,IPCA - Carnes e peixes,6.5694,,2023,1
202302,carnes,IPCA - Carnes e peixes,-0.416,,2023,2
202303,carnes,IPCA - Carnes e peixes,-1.2351,,2023,3
202304,carnes,IPCA - Carnes e peixes,1.4191,,2023,4
202305,carnes,IPCA - Carnes e peixes,-0.0235,,2023,5
202306,carnes,IPCA - Carnes e peixes,2.4108,,2023,6
202307,carnes,IPCA - Carnes e peixes,-3.5073,,2023,7
202308,carnes,IPCA - Carnes e peixes,-0.8315,,2023,8
202309,carnes,IPCA - Carnes e peixes,-1.9036,,2023,9
202310,carnes,IPCA - Carnes e peixes,-1.9499,,2023,10
202311,carnes,IPCA - Carnes e peixes,-0.9962,,2023,11
202312,carnes,IPCA - Carnes e peixes,0.0968,,2023,12
202401,carnes,IPCA - Carnes e peixes,2.1691,,2024,1
202402,carnes,IPCA - Carnes e peixes,1.1202,,2024,2
202403,carnes,IPCA - Carnes e peixes,3.896,,2024,3
202404,carnes,IPCA - Carnes e peixes,4.8431,,2024,4
202405,carnes,IPCA - Carnes e peixes,-0.4398,,2024,5
202406,carnes,IPCA - Carnes e peixes,-3.0351,,2024,6
202407,carnes,IPCA - Carnes e peixes,-6.7051,,2024,7
202408,carnes,IPCA - Carnes e peixes,-1.503,,2024,8
202409,carnes,IPCA - Carnes e peixes,-1.9771,,2024,9
202410,carnes,IPCA - Carnes e peixes,2.5919,,2024,10
202411,carnes,IPCA - Carnes e peixes,2.6863,,2024,11
202412,carnes,IPCA - Carnes e peixes,3.9043,,2024,12
201501,cereais,"IPCA - Cereais, leguminosas e oleag",6.326,,2015,1
201502,cereais,"IPCA - Cereais, leguminosas e oleag",1.7331,,2015,2
201503,cereais,"IPCA - Cereais, leguminosas e oleag",2.3563,,2015,3
201504,cereais,"IPCA - Cereais, leguminosas e oleag",2.7739,,2015,4
201505,cereais,"IPCA - Cereais, leguminosas e oleag",1.5053,,2015,5
201506,cereais,"IPCA - Cereais, leguminosas e oleag",-1.4008,,2015,6
201507,cereais,"IPCA - Cereais, leguminosas e oleag",0.164,,2015,7
201508,cereais,"IPCA - Cereais, leguminosas e oleag",-1.4822,,2015,8
201509,cereais,"IPCA - Cereais, leguminosas e oleag",0.4423,,2015,9
201510,cereais,"IPCA - Cereais, leguminosas e oleag",-1.8457,,2015,10
201511,cereais,"IPCA - Cereais, leguminosas e oleag",7.2386,,2015,11
201512,cereais,"IPCA - Cereais, leguminosas e oleag",3.339,,2015,12
201601,cereais,"IPCA - Cereais, leguminosas e oleag",2.7515,,2016,1
201602,cereais,"IPCA - Cereais, leguminosas e oleag",-1.433,,2016,2
201603,cereais,"IPCA - Cereais, leguminosas e oleag",2.0446,,2016,3
201604,cereais,"IPCA - Cereais, leguminosas e oleag",-1.1078,,2016,4
201605,cereais,"IPCA - Cereais, leguminosas e oleag",3.4592,,2016,5
201606,cereais,"IPCA - Cereais, leguminosas e oleag",1.5705,,2016,6
201607,cereais,"IPCA - Cereais, leguminosas e oleag",0.9004,,2016,7
201608,cereais,"IPCA - Cereais, leguminosas e oleag",2.5938,,2016,8
201609,cereais,"IPCA - Cereais, leguminosas e oleag",-1.4543,,2016,9
201610,cereais,"IPCA - Cereais, leguminosas e oleag",1.9088,,2016,10
201611,cereais,"IPCA - Cereais, leguminosas e oleag",-2.6791,,2016,11
201612,cereais,"IPCA - Cereais, leguminosas e oleag",-2.7339,,2016,12
201701,cereais,"IPCA - Cereais, leguminosas e oleag",-2.9693,,2017,1
201702,cereais,"IPCA - Cereais, leguminosas e oleag",-2.6201,,2017,2
201703,cereais,"IPCA - Cereais, leguminosas e oleag",0.581,,2017,3
201704,cereais,"IPCA - Cereais, leguminosas e oleag",3.8586,,2017,4
201705,cereais,"IPCA - Cereais, leguminosas e oleag",-0.2571,,2017,5
201706,cereais,"IPCA - Cereais, leguminosas e oleag",-2.2354,,2017,6
201707,cereais,"IPCA - Cereais, leguminosas e oleag",1.1432,,2017,7
201708,cereais,"IPCA - Cereais, leguminosas e oleag",-3.4812,,2017,8
201709,cereais,"IPCA - Cereais, leguminosas e oleag",-2.2461,,2017,9
201710,cereais,"IPCA - Cereais, leguminosas e oleag",3.0813,,2017,10
201711,cereais,"IPCA - Cereais, leguminosas e oleag",-1.7523,,2017,11
201712,cereais,"IPCA - Cereais, leguminosas e oleag",-1.6577,,2017,12
201801,cereais,"IPCA - Cereais, leguminosas e oleag",6.6091,,2018,1
201802,cereais,"IPCA - Cereais, leguminosas e oleag",-1.7037,,2018,2
201803,cereais,"IPCA - Cereais, leguminosas e oleag",2.2244,,2018,3
201804,cereais,"IPCA - Cereais, leguminosas e oleag",-1.8872,,2018,4
201805,cereais,"IPCA - Cereais, leguminosas e oleag",0.7867,,2018,5
201806,cereais,"IPCA - Cereais, leguminosas e oleag",3.8447,,2018,6
201807,cereais,"IPCA - Cereais, leguminosas e oleag",-5.1207,,2018,7
201808,cereais,"IPCA - Cereais, leguminosas e oleag",-0.5545,,2018,8
201809,cereais,"IPCA - Cereais, leguminosas e oleag",-0.4523,,2018,9
201810,cereais,"IPCA - Cereais, leguminosas e oleag",4.9124,,2018,10
201811,cereais,"IPCA - Cereais, leguminosas e oleag",2.458,,2018,11
201812,cereais,"IPCA - Cereais, leguminosas e oleag",0.634,,2018,12
201901,cereais,"IPCA - Cereais, leguminosas e oleag",-4.157,,2019,1
201902,cereais,"IPCA - Cereais, leguminosas e oleag",3.0874,,2019,2
201903,cereais,"IPCA - Cereais, leguminosas e oleag",7.2048,,2019,3
201904,cereais,"IPCA - Cereais, leguminosas e oleag",4.0666,,2019,4
